#GENE	UNI_ID	UNI_ACC	ENSP	GROUP
STYK1	STYK1_HUMAN	Q6J9G0	ENSP00000075503	Tyr
SYK	KSYK_HUMAN	P43405	ENSP00000364907	Tyr
TEC	TEC_HUMAN	P42680	ENSP00000370912	Tyr
TEK	TIE2_HUMAN	Q02763	ENSP00000369375	Tyr
TIE1	TIE1_HUMAN	P35590	ENSP00000361554	Tyr
TNK1	TNK1_HUMAN	Q13470	ENSP00000459799	Tyr
TNK2	ACK1_HUMAN	Q07912	ENSP00000329425	Tyr
TXK	TXK_HUMAN	P42681	ENSP00000264316	Tyr
TYK2	TYK2_HUMAN	P29597	ENSP00000264818	Tyr
TYRO3	TYRO3_HUMAN	Q06418	ENSP00000263798	Tyr
YES1	YES_HUMAN	P07947	ENSP00000462468	Tyr
ZAP70	ZAP70_HUMAN	P43403	ENSP00000264972	Tyr
AAK1	AAK1_HUMAN	Q2M2I8	ENSP00000386456	Tyr
AURKA	AURKA_HUMAN	O14965	ENSP00000321591	Tyr
AURKB	AURKB_HUMAN	Q96GD4	ENSP00000313950	Tyr
AURKC	AURKC_HUMAN	Q9UQB9	ENSP00000302898	Tyr
BMP2K	BMP2K_HUMAN	Q9NSY1	ENSP00000334836	Tyr
BUB1	BUB1_HUMAN	O43683	ENSP00000302530	Tyr
BUB1B	BUB1B_HUMAN	O60566	ENSP00000287598	Tyr
CAMKK1	KKCC1_HUMAN	Q8N5S9	ENSP00000323118	Tyr
CAMKK2	KKCC2_HUMAN	Q96RR4	ENSP00000312741	Tyr
CDC7	CDC7_HUMAN	O00311	ENSP00000234626	Tyr
CHUK	IKKA_HUMAN	O15111	ENSP00000359424	Tyr
CSNK2A1	CSK21_HUMAN	P68400	ENSP00000217244	Tyr
CSNK2A2	CSK22_HUMAN	P19784	ENSP00000262506	Tyr
CSNK2A3	CSK23_HUMAN	Q8NEV1	-	Tyr
DSTYK	DUSTY_HUMAN	Q6XUX3	ENSP00000356130	Tyr
EIF2AK1	E2AK1_HUMAN	Q9BQI3	ENSP00000199389	Tyr
EIF2AK2	E2AK2_HUMAN	P19525	ENSP00000233057	Tyr
EIF2AK3	E2AK3_HUMAN	Q9NZJ5	ENSP00000307235	Tyr
EIF2AK4	E2AK4_HUMAN	Q9P2K8	ENSP00000263791	Tyr
ERN1	ERN1_HUMAN	O75460	ENSP00000401445	Tyr
ERN2	ERN2_HUMAN	Q76MJ5	ENSP00000256797	Tyr
GAK	GAK_HUMAN	O14976	ENSP00000314499	Tyr
GSG2	HASP_HUMAN	Q8TF76	ENSP00000325290	Tyr
IKBKB	IKKB_HUMAN	O14920	ENSP00000430684	Tyr
IKBKE	IKKE_HUMAN	Q14164	ENSP00000356087	Tyr
MLKL	MLKL_HUMAN	Q8NB16	ENSP00000308351	Tyr
MOS	MOS_HUMAN	P00540	ENSP00000310722	Tyr
NRBP1	NRBP_HUMAN	Q9UHY1	ENSP00000369181	Tyr
NRBP2	NRBP2_HUMAN	Q9NSY0	ENSP00000414055	Tyr
PDIK1L	PDK1L_HUMAN	Q8N165	ENSP00000363387	Tyr
PEAK1	PEAK1_HUMAN	Q9H792	ENSP00000309230	Tyr
PIK3R4	PI3R4_HUMAN	Q99570	ENSP00000349205	Tyr
PINK1	PINK1_HUMAN	Q9BXM7	ENSP00000364204	Tyr
PKDCC	PKDCC_HUMAN	Q504Y2	ENSP00000294964	Tyr
PKMYT1	PMYT1_HUMAN	Q99640	ENSP00000458943	Tyr
PLK1	PLK1_HUMAN	P53350	ENSP00000300093	Tyr
PLK2	PLK2_HUMAN	Q9NYY3	ENSP00000274289	Tyr
PLK3	PLK3_HUMAN	Q9H4B4	ENSP00000361275	Tyr
PLK4	PLK4_HUMAN	O00444	ENSP00000270861	Tyr
PLK5	PLK5_HUMAN	Q496M5	ENSP00000466248	Tyr
POMK	SG196_HUMAN	Q9H5K3	ENSP00000331258	Tyr
PXK	PXK_HUMAN	Q7Z7A4	ENSP00000348472	Tyr
RNASEL	RN5A_HUMAN	Q05823	ENSP00000356530	Tyr
RPS6KC1	KS6C1_HUMAN	Q96S38	ENSP00000355927	Tyr
RPS6KL1	RPKL1_HUMAN	Q9Y6S9	ENSP00000450567	Tyr
SBK1	SBK1_HUMAN	Q52WX2	ENSP00000343248	Tyr
SBK2	SBK2_HUMAN	P0C263	ENSP00000345044	Tyr
SBK3	SBK3_HUMAN	P0C264	-	Tyr
SCYL1	NTKL_HUMAN	Q96KG9	ENSP00000270176	Tyr
SCYL2	SCYL2_HUMAN	Q6P3W7	ENSP00000354061	Tyr
SCYL3	PACE1_HUMAN	Q8IZE3	ENSP00000356746	Tyr
SGK071	SGK71_HUMAN	Q8NE28	ENSP00000361025	Tyr
SGK223	SG223_HUMAN	Q86YV5	ENSP00000330930	Tyr
SGK494	SG494_HUMAN	Q96LW2	-	Tyr
STK16	STK16_HUMAN	O75716	ENSP00000379964	Tyr
STK31	STK31_HUMAN	Q9BXU1	ENSP00000348132	Tyr
STK32A	ST32A_HUMAN	Q8WU08	ENSP00000381030	Tyr
STK32B	ST32B_HUMAN	Q9NY57	ENSP00000282908	Tyr
STK32C	ST32C_HUMAN	Q86UX6	ENSP00000298630	Tyr
STK35	STK35_HUMAN	Q8TDR2	ENSP00000370891	Tyr
STK36	STK36_HUMAN	Q9NRP7	ENSP00000295709	Tyr
TBCK	TBCK_HUMAN	Q8TEA7	ENSP00000405847	Tyr
TBK1	TBK1_HUMAN	Q9UHD2	ENSP00000329967	Tyr
TEX14	TEX14_HUMAN	Q8IWB6	ENSP00000240361	Tyr
TLK1	TLK1_HUMAN	Q9UKI8	ENSP00000411099	Tyr
TLK2	TLK2_HUMAN	Q86UE8	ENSP00000275780	Tyr
TTK	TTK_HUMAN	P33981	ENSP00000358813	Tyr
UHMK1	UHMK1_HUMAN	Q8TAS1	ENSP00000420270	Tyr
ULK1	ULK1_HUMAN	O75385	ENSP00000324560	Tyr
ULK2	ULK2_HUMAN	Q8IYT8	ENSP00000378914	Tyr
ULK3	ULK3_HUMAN	Q6PHR2	ENSP00000400312	Tyr
ULK4	ULK4_HUMAN	Q96C45	ENSP00000301831	Tyr
WEE1	WEE1_HUMAN	P30291	ENSP00000402084	Tyr
WEE2	WEE2_HUMAN	P0C1S8	ENSP00000380675	Tyr
WNK1	WNK1_HUMAN	Q9H4A3	ENSP00000444465	Tyr
WNK2	WNK2_HUMAN	Q9Y3S1	ENSP00000297954	Tyr
WNK3	WNK3_HUMAN	Q9BYP7	ENSP00000364301	Tyr
WNK4	WNK4_HUMAN	Q96J92	ENSP00000246914	Tyr
ADCK1	ADCK1_HUMAN	Q86TW2	ENSP00000238561	Atypical_ADCK
ADCK2	ADCK2_HUMAN	Q7Z695	ENSP00000072869	Atypical_ADCK
ADCK3	ADCK3_HUMAN	Q8NI60	ENSP00000355739	Atypical_ADCK
ADCK4	ADCK4_HUMAN	Q96D53	ENSP00000315118	Atypical_ADCK
ADCK5	ADCK5_HUMAN	Q3MIX3	ENSP00000310547	Atypical_ADCK
ALPK1	ALPK1_HUMAN	Q96QP1	ENSP00000398048	Atypical_Alpha-type
ALPK2	ALPK2_HUMAN	Q86TB3	ENSP00000354991	Atypical_Alpha-type
ALPK3	ALPK3_HUMAN	Q96L96	ENSP00000258888	Atypical_Alpha-type
EEF2K	EF2K_HUMAN	O00418	ENSP00000263026	Atypical_Alpha-type
TRPM6	TRPM6_HUMAN	Q9BX84	ENSP00000396672	Atypical_Alpha-type
TRPM7	TRPM7_HUMAN	Q96QT4	ENSP00000320239	Atypical_Alpha-type
FASTK	FASTK_HUMAN	Q14296	ENSP00000297532	Atypical_FAST
BCKDK	BCKD_HUMAN	O14874	ENSP00000219794	Atypical_PDK/BCKDK
PDK1	PDK1_HUMAN	Q15118	ENSP00000282077	Atypical_PDK/BCKDK
PDK2	PDK2_HUMAN	Q15119	ENSP00000420927	Atypical_PDK/BCKDK
PDK3	PDK3_HUMAN	Q15120	ENSP00000368460	Atypical_PDK/BCKDK
PDK4	PDK4_HUMAN	Q16654	ENSP00000005178	Atypical_PDK/BCKDK
ATM	ATM_HUMAN	Q13315	ENSP00000278616	Atypical_PI3/PI4-kinase
ATR	ATR_HUMAN	Q13535	ENSP00000343741	Atypical_PI3/PI4-kinase
MTOR	MTOR_HUMAN	P42345	ENSP00000354558	Atypical_PI3/PI4-kinase
PIK3CA	PK3CA_HUMAN	P42336	ENSP00000263967	Atypical_PI3/PI4-kinase
PIK3CG	PK3CG_HUMAN	P48736	ENSP00000392258	Atypical_PI3/PI4-kinase
PRKDC	PRKDC_HUMAN	P78527	ENSP00000313420	Atypical_PI3/PI4-kinase
SMG1	SMG1_HUMAN	Q96Q15	ENSP00000374118	Atypical_PI3/PI4-kinase
RIOK1	RIOK1_HUMAN	Q9BRS2	ENSP00000369162	Atypical_RIO-type
RIOK2	RIOK2_HUMAN	Q9BVS4	ENSP00000283109	Atypical_RIO-type
RIOK3	RIOK3_HUMAN	O14730	ENSP00000341874	Atypical_RIO-type
