#GO	N_DIS	TOT_DIS	PERC_DIS	N_NEU	TOT_NEU	PERC	NEU	LOG_ODDS	DESCRIPTION
GO:0048193	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) Golgi vesicle transport
GO:0048407	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) platelet-derived growth factor binding
GO:0050732	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) negative regulation of peptidyl-tyrosine phosphorylation
GO:0050801	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) ion homeostasis
GO:0050851	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) antigen receptor-mediated signaling pathway
GO:0051047	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) positive regulation of secretion
GO:0051055	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) negative regulation of lipid biosynthetic process
GO:0051193	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of cofactor metabolic process
GO:0051196	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of coenzyme metabolic process
GO:0051219	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) phosphoprotein binding
GO:0051318	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) G1 phase
GO:0051351	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) positive regulation of ligase activity
GO:0051443	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) positive regulation of ubiquitin-protein ligase activity
GO:0051495	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) positive regulation of cytoskeleton organization
GO:0060326	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) cell chemotaxis
GO:0070304	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) positive regulation of stress-activated protein kinase signaling cascade
GO:0070838	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) divalent metal ion transport
GO:0070851	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) growth factor receptor binding
GO:0090066	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of anatomical structure size
GO:0000115	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of transcription involved in S phase of mitotic cell cycle
GO:0000133	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) polarisome
GO:0000146	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) microfilament motor activity
GO:0000184	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0000185	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) activation of MAPKKK activity
GO:0000242	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) pericentriolar material
GO:0000245	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) spliceosome assembly
GO:0000308	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) cytoplasmic cyclin-dependent protein kinase holoenzyme complex
GO:0000407	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) pre-autophagosomal structure
GO:0000718	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) nucleotide-excision repair, DNA damage removal
GO:0000726	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) non-recombinational repair
GO:0000775	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) chromosome, centromeric region
GO:0000779	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) condensed chromosome, centromeric region
GO:0000780	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) condensed nuclear chromosome, centromeric region
GO:0000819	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) sister chromatid segregation
GO:0000902	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) cell morphogenesis
GO:0000942	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) condensed nuclear chromosome outer kinetochore
GO:0001101	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) response to acid
GO:0001578	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) microtubule bundle formation
GO:0001664	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) G-protein-coupled receptor binding
GO:0001666	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) response to hypoxia
GO:0001669	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) acrosomal vesicle
GO:0001726	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) ruffle
GO:0001818	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of cytokine production
GO:0001960	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of cytokine-mediated signaling pathway
GO:0002026	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of the force of heart contraction
GO:0002029	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) desensitization of G-protein coupled receptor protein signaling pathway
GO:0002039	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) p53 binding
GO:0002683	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of immune system process
GO:0002697	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of immune effector process
GO:0002698	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of immune effector process
GO:0002700	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of production of molecular mediator of immune response
GO:0002701	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of production of molecular mediator of immune response
GO:0002718	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of cytokine production involved in immune response
GO:0002719	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of cytokine production involved in immune response
GO:0002791	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of peptide secretion
GO:0002793	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) positive regulation of peptide secretion
GO:0002831	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of response to biotic stimulus
GO:0002832	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of response to biotic stimulus
GO:0003014	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) renal system process
GO:0003057	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of the force of heart contraction by chemical signal
GO:0003108	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of the force of heart contraction by chemical signal
GO:0003702	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) RNA polymerase II transcription factor activity
GO:0003725	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) double-stranded RNA binding
GO:0004686	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) elongation factor-2 kinase activity
GO:0004699	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) calcium-independent protein kinase C activity
GO:0004711	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) ribosomal protein S6 kinase activity
GO:0004723	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) calcium-dependent protein serine/threonine phosphatase activity
GO:0004812	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) aminoacyl-tRNA ligase activity
GO:0004862	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) cAMP-dependent protein kinase inhibitor activity
GO:0004864	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) phosphoprotein phosphatase inhibitor activity
GO:0004992	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) platelet activating factor receptor activity
GO:0005018	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) platelet-derived growth factor alpha-receptor activity
GO:0005019	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) platelet-derived growth factor beta-receptor activity
GO:0005070	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) SH3/SH2 adaptor activity
GO:0005095	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) GTPase inhibitor activity
GO:0005097	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) Rab GTPase activator activity
GO:0005099	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) Ras GTPase activator activity
GO:0005123	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) death receptor binding
GO:0005176	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) ErbB-2 class receptor binding
GO:0005506	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) iron ion binding
GO:0005518	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) collagen binding
GO:0005675	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) holo TFIIH complex
GO:0005681	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) spliceosomal complex
GO:0005773	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) vacuole
GO:0005776	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) autophagic vacuole
GO:0005793	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) ER-Golgi intermediate compartment
GO:0005801	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) cis-Golgi network
GO:0005816	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) spindle pole body
GO:0005875	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) microtubule associated complex
GO:0005876	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) spindle microtubule
GO:0005890	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) sodium:potassium-exchanging ATPase complex
GO:0005905	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) coated pit
GO:0005929	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) cilium
GO:0005942	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) phosphoinositide 3-kinase complex
GO:0005958	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) DNA-dependent protein kinase-DNA ligase 4 complex
GO:0006082	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) organic acid metabolic process
GO:0006289	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) nucleotide-excision repair
GO:0006298	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) mismatch repair
GO:0006302	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) double-strand break repair
GO:0006303	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) double-strand break repair via nonhomologous end joining
GO:0006308	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) DNA catabolic process
GO:0006405	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) RNA export from nucleus
GO:0006406	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) mRNA export from nucleus
GO:0006414	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) translational elongation
GO:0006447	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of translational initiation by iron
GO:0006509	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) membrane protein ectodomain proteolysis
GO:0006612	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) protein targeting to membrane
GO:0006631	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) fatty acid metabolic process
GO:0006633	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) fatty acid biosynthetic process
GO:0006644	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) phospholipid metabolic process
GO:0006650	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) glycerophospholipid metabolic process
GO:0006694	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) steroid biosynthetic process
GO:0006695	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) cholesterol biosynthetic process
GO:0006814	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) sodium ion transport
GO:0006873	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) cellular ion homeostasis
GO:0006874	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) cellular calcium ion homeostasis
GO:0006875	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) cellular metal ion homeostasis
GO:0006882	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) cellular zinc ion homeostasis
GO:0006888	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) ER to Golgi vesicle-mediated transport
GO:0006890	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) retrograde vesicle-mediated transport, Golgi to ER
GO:0006914	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) autophagy
GO:0006942	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of striated muscle contraction
GO:0006978	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator
GO:0006987	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) activation of signaling protein activity involved in unfolded protein response
GO:0007052	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) mitotic spindle organization
GO:0007063	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of sister chromatid cohesion
GO:0007140	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) male meiosis
GO:0007173	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) epidermal growth factor receptor signaling pathway
GO:0007185	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) transmembrane receptor protein tyrosine phosphatase signaling pathway
GO:0007204	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) elevation of cytosolic calcium ion concentration
GO:0007205	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway
GO:0007213	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) muscarinic acetylcholine receptor signaling pathway
GO:0007250	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) activation of NF-kappaB-inducing kinase activity
GO:0007252	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) I-kappaB phosphorylation
GO:0007256	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) activation of JNKK activity
GO:0007338	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) single fertilization
GO:0007409	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) axonogenesis
GO:0007528	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) neuromuscular junction development
GO:0007548	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) sex differentiation
GO:0007565	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) female pregnancy
GO:0007584	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) response to nutrient
GO:0007588	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) excretion
GO:0007589	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) body fluid secretion
GO:0007605	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) sensory perception of sound
GO:0007610	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) behavior
GO:0007611	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) learning or memory
GO:0007612	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) learning
GO:0007631	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) feeding behavior
GO:0008017	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) microtubule binding
GO:0008023	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) transcription elongation factor complex
GO:0008064	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of actin polymerization or depolymerization
GO:0008094	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) DNA-dependent ATPase activity
GO:0008135	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) translation factor activity, nucleic acid binding
GO:0008156	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of DNA replication
GO:0008202	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) steroid metabolic process
GO:0008203	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) cholesterol metabolic process
GO:0008349	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) MAP kinase kinase kinase kinase activity
GO:0008601	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) protein phosphatase type 2A regulator activity
GO:0008653	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) lipopolysaccharide metabolic process
GO:0008656	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) caspase activator activity
GO:0009103	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) lipopolysaccharide biosynthetic process
GO:0009566	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) fertilization
GO:0009790	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) embryo development
GO:0009791	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) post-embryonic development
GO:0010001	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) glial cell differentiation
GO:0010243	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) response to organic nitrogen
GO:0010469	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of receptor activity
GO:0010508	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) positive regulation of autophagy
GO:0010552	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) positive regulation of gene-specific transcription from RNA polymerase II promoter
GO:0010629	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of gene expression
GO:0010677	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of cellular carbohydrate metabolic process
GO:0010720	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) positive regulation of cell development
GO:0010741	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of intracellular protein kinase cascade
GO:0010743	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of macrophage derived foam cell differentiation
GO:0010744	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) positive regulation of macrophage derived foam cell differentiation
GO:0010824	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of centrosome duplication
GO:0010829	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of glucose transport
GO:0010893	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) positive regulation of steroid biosynthetic process
GO:0010904	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of UDP-glucose catabolic process
GO:0010905	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of UDP-glucose catabolic process
GO:0010932	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of macrophage tolerance induction
GO:0010933	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) positive regulation of macrophage tolerance induction
GO:0010935	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of macrophage cytokine production
GO:0010936	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of macrophage cytokine production
GO:0010939	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of necrotic cell death
GO:0010940	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) positive regulation of necrotic cell death
GO:0010997	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) anaphase-promoting complex binding
GO:0014037	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) Schwann cell differentiation
GO:0014066	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of phosphoinositide 3-kinase cascade
GO:0014068	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) positive regulation of phosphoinositide 3-kinase cascade
GO:0014075	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) response to amine stimulus
GO:0014910	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of smooth muscle cell migration
GO:0014912	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of smooth muscle cell migration
GO:0015026	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) coreceptor activity
GO:0015459	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) potassium channel regulator activity
GO:0015631	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) tubulin binding
GO:0015672	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) monovalent inorganic cation transport
GO:0015931	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) nucleobase, nucleoside, nucleotide and nucleic acid transport
GO:0016044	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) cellular membrane organization
GO:0016053	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) organic acid biosynthetic process
GO:0016072	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) rRNA metabolic process
GO:0016075	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) rRNA catabolic process
GO:0016125	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) sterol metabolic process
GO:0016126	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) sterol biosynthetic process
GO:0016197	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) endosome transport
GO:0016247	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) channel regulator activity
GO:0016481	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of transcription
GO:0016504	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) peptidase activator activity
GO:0016505	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) apoptotic protease activator activity
GO:0016525	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of angiogenesis
GO:0016874	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) ligase activity
GO:0016875	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) ligase activity, forming carbon-oxygen bonds
GO:0016876	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) ligase activity, forming aminoacyl-tRNA and related compounds
GO:0017015	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of transforming growth factor beta receptor signaling pathway
GO:0017016	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) Ras GTPase binding
GO:0017048	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) Rho GTPase binding
GO:0017049	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) GTP-Rho binding
GO:0017080	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) sodium channel regulator activity
GO:0019212	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) phosphatase inhibitor activity
GO:0019218	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of steroid metabolic process
GO:0019637	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) organophosphate metabolic process
GO:0019717	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) synaptosome
GO:0019725	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) cellular homeostasis
GO:0019752	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) carboxylic acid metabolic process
GO:0020037	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) heme binding
GO:0021545	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) cranial nerve development
GO:0021675	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) nerve development
GO:0022401	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative adaptation of signaling pathway
GO:0022406	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) membrane docking
GO:0022614	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) membrane to membrane docking
GO:0022618	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) ribonucleoprotein complex assembly
GO:0022626	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) cytosolic ribosome
GO:0022898	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of transmembrane transporter activity
GO:0023058	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) adaptation of signaling pathway
GO:0030003	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) cellular cation homeostasis
GO:0030005	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) cellular di-, tri-valent inorganic cation homeostasis
GO:0030010	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) establishment of cell polarity
GO:0030117	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) membrane coat
GO:0030120	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) vesicle coat
GO:0030126	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) COPI vesicle coat
GO:0030135	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) coated vesicle
GO:0030136	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) clathrin-coated vesicle
GO:0030141	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) stored secretory granule
GO:0030146	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) diuresis
GO:0030147	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) natriuresis
GO:0030163	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) protein catabolic process
GO:0030175	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) filopodium
GO:0030176	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) integral to endoplasmic reticulum membrane
GO:0030182	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) neuron differentiation
GO:0030217	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) T cell differentiation
GO:0030258	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) lipid modification
GO:0030274	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) LIM domain binding
GO:0030291	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) protein serine/threonine kinase inhibitor activity
GO:0030296	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) protein tyrosine kinase activator activity
GO:0030384	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) phosphoinositide metabolic process
GO:0030425	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) dendrite
GO:0030511	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) positive regulation of transforming growth factor beta receptor signaling pathway
GO:0030514	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of BMP signaling pathway
GO:0030516	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of axon extension
GO:0030518	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) steroid hormone receptor signaling pathway
GO:0030521	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) androgen receptor signaling pathway
GO:0030522	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) intracellular receptor mediated signaling pathway
GO:0030545	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) receptor regulator activity
GO:0030546	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) receptor activator activity
GO:0030548	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) acetylcholine receptor regulator activity
GO:0030549	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) acetylcholine receptor activator activity
GO:0030593	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) neutrophil chemotaxis
GO:0030595	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) leukocyte chemotaxis
GO:0030674	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) protein binding, bridging
GO:0030832	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of actin filament length
GO:0030833	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of actin filament polymerization
GO:0030877	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) beta-catenin destruction complex
GO:0030898	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) actin-dependent ATPase activity
GO:0030947	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) regulation of vascular endothelial growth factor receptor signaling pathway
GO:0030949	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) positive regulation of vascular endothelial growth factor receptor signaling pathway
GO:0031013	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) troponin I binding
GO:0031023	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) microtubule organizing center organization
GO:0031175	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) neuron projection development
GO:0031227	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) intrinsic to endoplasmic reticulum membrane
GO:0031264	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) death-inducing signaling complex
GO:0031267	0	65	0.00	1	389	0.26	0.00	-27.94	(MF) small GTPase binding
GO:0031300	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) intrinsic to organelle membrane
GO:0031301	0	65	0.00	1	389	0.26	0.00	-27.94	(CC) integral to organelle membrane
GO:0031333	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) negative regulation of protein complex assembly
GO:0031334	0	65	0.00	1	389	0.26	0.00	-27.94	(BP) positive regulation of protein complex assembly
